"","date","count","death_03da","death_05da","death_07da","death_10da","death_15da","death_21da","year(date)","cmsum","month"
"2174",2021-06-24,8,5.66666666666667,4.8,4.28571428571429,3.7,3.33333333333333,3.28571428571429,2021,472,"June"
"2175",2021-06-25,5,5,4.4,4.28571428571429,3.9,3.33333333333333,3.19047619047619,2021,477,"June"
"2176",2021-06-26,2,3.33333333333333,4.2,3.85714285714286,3.9,3.46666666666667,3.14285714285714,2021,479,"June"
"2177",2021-06-27,3,2.66666666666667,3,3.85714285714286,3.5,3.33333333333333,3,2021,482,"June"
"2178",2021-06-28,3,2.66666666666667,2.8,3.14285714285714,3.5,3.4,3.0952380952381,2021,485,"June"
"2179",2021-06-29,2,3,3,2.57142857142857,2.8,3.33333333333333,3.04761904761905,2021,487,"June"
"2180",2021-06-30,4,3,2.6,2.85714285714286,2.6,3.13333333333333,3,2021,491,"June"
"2181",2021-07-01,3,2.66666666666667,2.8,2.57142857142857,2.6,3.06666666666667,2.95238095238095,2021,494,"July"
"2182",2021-07-02,1,2.66666666666667,2.6,2.57142857142857,2.5,2.6,2.9047619047619,2021,495,"July"
"2183",2021-07-04,4,2,2.4,2.57142857142857,2.5,2.4,2.76190476190476,2021,499,"July"
"2184",2021-07-05,1,2.66666666666667,2.2,2.28571428571429,2.4,2.33333333333333,2.71428571428571,2021,500,"July"
"2185",2021-07-06,3,2,2.4,2.28571428571429,2.2,2.26666666666667,2.47619047619048,2021,503,"July"
"2186",2021-07-07,2,2.33333333333333,2.2,2.28571428571429,2,2.2,2.38095238095238,2021,505,"July"
"2187",2021-07-08,2,2.33333333333333,2.2,2,2.1,2.26666666666667,2.42857142857143,2021,507,"July"
"2188",2021-07-09,3,2,2,2,1.9,2.2,2.47619047619048,2021,510,"July"
"2189",2021-07-10,1,2,1.8,1.85714285714286,2.1,2.2,2.47619047619048,2021,511,"July"
"2190",2021-07-11,2,1.33333333333333,1.8,1.85714285714286,2.1,2.33333333333333,2.42857142857143,2021,513,"July"
"2191",2021-07-12,1,1.66666666666667,1.6,2,2.2,2.33333333333333,2.28571428571429,2021,514,"July"
"2192",2021-07-13,2,1.66666666666667,2,2,2.3,2.46666666666667,2.23809523809524,2021,516,"July"
"2193",2021-07-14,2,2.33333333333333,2.2,2.28571428571429,2.4,2.33333333333333,2.33333333333333,2021,518,"July"
"2194",2021-07-16,3,2.66666666666667,2.6,2.42857142857143,2.6,2.26666666666667,2.42857142857143,2021,521,"July"
"2195",2021-07-17,3,3,2.8,2.85714285714286,2.5,2.26666666666667,2.42857142857143,2021,524,"July"
"2196",2021-07-18,3,3,3.2,3,2.5,2.26666666666667,2.33333333333333,2021,527,"July"
"2197",2021-07-19,3,3.33333333333333,3.2,2.85714285714286,2.5,2.6,2.28571428571429,2021,530,"July"
"2198",2021-07-20,4,3.33333333333333,2.8,2.57142857142857,2.6,2.53333333333333,2.33333333333333,2021,534,"July"
"2199",2021-07-22,3,2.66666666666667,2.4,2.42857142857143,2.9,2.53333333333333,2.38095238095238,2021,537,"July"
"2200",2021-07-23,1,1.66666666666667,2.2,2.42857142857143,2.7,2.46666666666667,2.38095238095238,2021,538,"July"
"2201",2021-07-24,1,1.33333333333333,2,2.85714285714286,2.5,2.53333333333333,2.52380952380952,2021,539,"July"
"2202",2021-07-25,2,2,2.6,2.42857142857143,2.3,2.6,2.57142857142857,2021,541,"July"
"2203",2021-07-26,3,3.66666666666667,2.6,2.14285714285714,2.2,2.46666666666667,2.52380952380952,2021,544,"July"
"2204",2021-07-27,6,3.33333333333333,2.6,2.14285714285714,2.3,2.6,2.52380952380952,2021,550,"July"
"2205",2021-07-28,1,2.66666666666667,2.4,2.42857142857143,2.3,2.53333333333333,2.47619047619048,2021,551,"July"
"2206",2021-07-29,1,1,2.4,2.71428571428571,2.7,2.33333333333333,2.52380952380952,2021,552,"July"
"2207",2021-07-30,1,1.66666666666667,2,2.42857142857143,2.7,2.26666666666667,2.57142857142857,2021,553,"July"
