"","year","state","count","straight_percentage","population","percent_pop","weight_percent","per_capita","per_million"
"183",2018,"NM",19,0.0203,2117522,0.0064,0.0203,8.97275211308312e-06,8.97275211308312
"184",2018,"NV",22,0.0236,3104614,0.0094,0.0236,7.0862271445017e-06,7.0862271445017
"185",2018,"NY",15,0.0161,20201249,0.0609,0.0161,7.42528345648331e-07,0.742528345648331
"186",2018,"OH",32,0.0343,11799448,0.0356,0.0343,2.71199127281208e-06,2.71199127281208
"187",2018,"OK",32,0.0343,3959353,0.0119,0.0343,8.08212856999616e-06,8.08212856999616
"188",2018,"OR",16,0.0171,4237256,0.0128,0.0171,3.77602863740119e-06,3.77602863740119
"189",2018,"PA",21,0.0225,13002700,0.0392,0.0225,1.61504918209295e-06,1.61504918209295
"190",2018,"RI",1,0.0011,1097379,0.0033,0.0011,9.11262198383603e-07,0.911262198383603
"191",2018,"SC",12,0.0128,5118425,0.0154,0.0128,2.34447119963661e-06,2.34447119963661
"192",2018,"SD",2,0.0021,886667,0.0027,0.0021,2.25563824976006e-06,2.25563824976006
"193",2018,"TN",25,0.0268,6910840,0.0209,0.0268,3.61750525261763e-06,3.61750525261763
"194",2018,"TX",70,0.0749,29145505,0.0879,0.0749,2.4017425671643e-06,2.4017425671643
"195",2018,"UT",19,0.0203,3271616,0.0099,0.0203,5.8075275337937e-06,5.8075275337937
"196",2018,"VA",18,0.0193,8631393,0.026,0.0193,2.08541077900172e-06,2.08541077900172
"197",2018,"VT",2,0.0021,643077,0.0019,0.0021,3.1100474748747e-06,3.1100474748747
"198",2018,"WA",23,0.0246,7705281,0.0232,0.0246,2.9849657656872e-06,2.9849657656872
"199",2018,"WI",12,0.0128,5893718,0.0178,0.0128,2.0360661979416e-06,2.0360661979416
"200",2018,"WV",7,0.0075,1793716,0.0054,0.0075,3.90251299536827e-06,3.90251299536827
"201",2018,"WY",4,0.0043,576851,0.0017,0.0043,6.93419964600911e-06,6.93419964600911
"202",2019,"AK",6,0.0064,733391,0.0022,0.0064,8.18117484397818e-06,8.18117484397818
"203",2019,"AL",11,0.0118,5024279,0.0152,0.0118,2.18936886267662e-06,2.18936886267662
"204",2019,"AR",17,0.0182,3011524,0.0091,0.0182,5.64498240757836e-06,5.64498240757836
"205",2019,"AZ",35,0.0376,7151502,0.0216,0.0376,4.89407679673445e-06,4.89407679673445
"206",2019,"CA",119,0.1277,39538223,0.1193,0.1277,3.00974578447797e-06,3.00974578447797
"207",2019,"CO",36,0.0386,5773714,0.0174,0.0386,6.23515470284811e-06,6.23515470284811
"208",2019,"CT",4,0.0043,3605944,0.0109,0.0043,1.10927956729223e-06,1.10927956729223
"209",2019,"DC",1,0.0011,689545,0.0021,0.0011,1.45023167451e-06,1.45023167451
"210",2019,"DE",2,0.0021,989948,0.003,0.0021,2.02030813739712e-06,2.02030813739712
"211",2019,"FL",58,0.0622,21538187,0.065,0.0622,2.69289146760589e-06,2.69289146760589
